"","date","counting_station","total","min-temp","max-temp","rainfall","cloudiness","sunshine"
"1","2017.01.01","Arnulf",135,-6.1,2.6,0,36,5.9
"2","2017.01.02","Arnulf",400,-5.4,0.8,3.2,69,0.3
"3","2017.01.03","Arnulf",262,-2.1,0.6,0,85,3.6
"4","2017.01.04","Arnulf",207,-0.9,1.3,2.2,94,0
"5","2017.01.05","Arnulf",224,-7.1,-0.2,0,88,0
"6","2017.01.06","Arnulf",63,-13,-6.5,0,43,5
"7","2017.01.07","Arnulf",85,-14.8,-4,4.6,74,0
"8","2017.01.08","Arnulf",39,-4.6,-1,2.7,98,0
"9","2017.01.09","Arnulf",333,-2.2,-0.1,0,99,0
"10","2017.01.10","Arnulf",400,-4.2,0,0.1,65,7.8
"11","2017.01.11","Arnulf",358,-5.3,3.8,2.2,98,0.1
"12","2017.01.12","Arnulf",447,1.6,5.5,7.3,96,0
"13","2017.01.13","Arnulf",450,-1.5,5.4,0.8,94,0
"14","2017.01.14","Arnulf",137,-2.3,2,1.5,90,0.5
"15","2017.01.15","Arnulf",51,-3.4,0.5,4.3,96,2
"16","2017.01.16","Arnulf",133,-4.5,-2.3,1.4,98,0
"17","2017.01.17","Arnulf",29,-7.9,-3.7,0.1,73,1.6
"18","2017.01.18","Arnulf",162,-8.4,-3.5,0,84,0
"19","2017.01.19","Arnulf",261,-8.8,-3.5,0,51,4.4
"20","2017.01.20","Arnulf",256,-11,-2.4,0,1,7.5
"21","2017.01.21","Arnulf",105,-11.7,-1.7,0,3,7.3
"22","2017.01.22","Arnulf",65,-13.1,-6.2,0,16,6.8
"23","2017.01.23","Arnulf",350,-13,-4,0,16,6.2
"24","2017.01.24","Arnulf",364,-11.4,-7.2,0,96,0
"25","2017.01.25","Arnulf",356,-9.6,-3.9,0,100,0
"26","2017.01.26","Arnulf",405,-8.3,-0.8,0,56,3.8
"27","2017.01.27","Arnulf",403,-10.9,5,0,1,8.6
"28","2017.01.28","Arnulf",168,-9.7,4.9,0,11,8
"29","2017.01.29","Arnulf",150,-8.2,8.7,0,0,8.6
"30","2017.01.30","Arnulf",524,-5.8,7.2,4.1,64,1.3
"31","2017.01.31","Arnulf",351,1.1,6.2,10.1,98,0
"32","2017.01.01","Kreuther",30,-6.1,2.6,0,36,5.9
"33","2017.01.02","Kreuther",79,-5.4,0.8,3.2,69,0.3
